change_date,mold_id,part_name,line,reason,before_defect_rate_pct,after_defect_rate_pct,shot_count_at_change,max_shots,post_change_status
2026-04-02,M003,배터리케이스C,L3,예방교체,2.8,1.4,208900,210000,안정화
2026-04-04,M007,브라켓A,L1,수명한계근접,2.1,1.0,194200,195000,정상운용
2026-04-07,M011,힌지플레이트E,L2,치수편차증가,2.4,1.3,153900,155000,정상운용
2026-04-11,M006,사이드레일F,L4,표면마모,1.9,1.1,198100,200000,정상운용
2026-04-15,M015,배터리케이스C,L3,냉각채널보정,2.6,1.6,162400,170000,점검강화
2026-04-19,M004,크로스멤버D,L2,버어발생증가,1.8,0.9,181700,190000,정상운용
2026-04-23,M013,브라켓A,L1,정기교체,2.0,1.2,186500,190000,정상운용
2026-04-28,M009,배터리케이스C,L3,용접부간섭보정,2.7,1.8,166900,170000,안정화
2026-05-03,M002,마운트B,L2,찍힘불량증가,1.7,0.8,177600,180000,정상운용
2026-05-06,M016,사이드레일F,L4,예방교체,1.6,0.9,193200,200000,정상운용
2026-05-10,M010,크로스멤버D,L2,가이드핀마모,1.9,1.0,182300,185000,정상운용
2026-05-14,M014,마운트B,L1,치수편차증가,1.8,1.1,146800,150000,정상운용
2026-05-18,M017,힌지플레이트E,L2,균열징후점검,2.3,1.5,148700,155000,점검강화
2026-05-22,M012,사이드레일F,L4,정기교체,1.5,0.8,159200,165000,정상운용
2026-05-27,M018,브라켓A,L1,금형온도편차,2.2,1.4,171600,190000,안정화
2026-06-01,M008,마운트B,L2,예방교체,1.6,0.7,156900,160000,정상운용
2026-06-05,M019,배터리케이스C,L3,슬라이드마모,2.9,1.9,168500,170000,안정화
2026-06-10,M005,힌지플레이트E,L2,수명한계근접,2.1,1.2,149100,150000,정상운용
2026-06-14,M020,크로스멤버D,L4,버어재발방지,1.8,0.9,176400,185000,정상운용
2026-06-18,M021,브라켓A,L1,교체주기단축시험,2.0,1.1,183200,190000,평가중
2026-06-22,M022,배터리케이스C,L3,냉각라인정밀조정,2.5,1.5,164700,170000,정상운용
2026-06-26,M023,사이드레일F,L4,표면품질개선,1.7,0.8,158600,165000,정상운용
2026-06-29,M024,마운트B,L2,정기교체,1.6,0.9,149800,150000,정상운용
